brand_id,brand_name,brand_type,tier,headquarters,founded,parent_company,avg_value_retention,notes
cartier,Cartier,jewelry,1,France,1847,Richemont,0.79,Iconic LOVE and Panthère collections
van-cleef-arpels,Van Cleef & Arpels,jewelry,1,France,1906,Richemont,0.85,Alhambra collection highly collectible
tiffany,Tiffany & Co.,jewelry,2,USA,1837,LVMH,0.65,Strong brand recognition - T Collection popular
bulgari,Bulgari,jewelry,1,Italy,1884,LVMH,0.75,Serpenti and B.zero1 iconic
david-yurman,David Yurman,jewelry,2,USA,1980,Private,0.55,Cable Collection signature design
rolex,Rolex,watches,1,Switzerland,1905,Private,1.15,Often appreciates above retail
audemars-piguet,Audemars Piguet,watches,1,Switzerland,1875,Private,1.10,Royal Oak highly collectible
patek-philippe,Patek Philippe,watches,1,Switzerland,1839,Private,1.25,Highest value retention in watches
omega,Omega,watches,2,Switzerland,1848,Swatch Group,0.70,Speedmaster most popular
piaget,Piaget,watches,1,Switzerland,1874,Richemont,0.80,Known for ultra-thin movements
